id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
26623,VORY,medium_airport,Rajahmundry Airport,17.1103992462,81.81819915770001,151.0,AS,IN,IN-AP,Rajahmundry,yes,VORY,RJA,,http://aai.aero/allAirports/rajahmundry_generalinfo.jsp,https://en.wikipedia.org/wiki/Rajahmundry_Airport,
26624,VOSM,medium_airport,Salem Airport,11.78330039978,78.06559753418,1008.0,AS,IN,IN-TN,Salem,no,VOSM,SXV,,,https://en.wikipedia.org/wiki/Salem_Airport_(India),
26626,VOTJ,small_airport,Thanjavur Air Force Station,10.7224,79.101601,253.0,AS,IN,IN-TN,Thanjavur,no,VOTJ,TJV,,,https://en.wikipedia.org/wiki/Thanjavur_Air_Force_Station,"Tanjavur, Tanjore Air Force Base"
26627,VOTP,small_airport,Tirupati Airport,13.632499694800002,79.543296814,350.0,AS,IN,IN-AP,Tirupati,yes,VOTP,TIR,,http://aai.aero/allAirports/tirupati_generalinfo.jsp,https://en.wikipedia.org/wiki/Tirupati_Airport,
26628,VOTR,medium_airport,Tiruchirappalli International Airport,10.7654,78.709702,288.0,AS,IN,IN-TN,Tiruchirappalli,yes,VOTR,TRZ,,,https://en.wikipedia.org/wiki/Tiruchirappalli_International_Airport,Tiruchirappalli
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956024,76.9200973511,15.0,AS,IN,IN-KL,Thiruvananthapuram,yes,VOTV,TRV,,,https://en.wikipedia.org/wiki/Trivandrum_International_Airport,"Thiruvananthapuram International Airport, Trivandrum Air Force Station"
32647,VOWA,small_airport,Warangal Airport,17.9144,79.602203,935.0,AS,IN,IN-TG,Warangal,no,VOWA,WGC,,http://aai.aero/allAirports/warrangal.jsp,https://en.wikipedia.org/wiki/Warangal_Airport,"Mamnoor, Warrangal"
26631,VOYK,small_airport,Yelahanka Air Force Station,13.135499954223633,77.60600280761719,3045.0,AS,IN,IN-KA,Yelahanka,no,VOYK,,,,https://en.wikipedia.org/wiki/Yelahanka_Air_Force_Station,
606,VQ10,small_airport,Yongphulla Airport,27.256399,91.514503,9000.0,AS,BT,BT-41,Tashigang,yes,VQTY,YON,,,https://en.wikipedia.org/wiki/Yongphulla_Airport,"Yonphula Airport, VQ10"
315554,VQBT,small_airport,Bathpalathang Airport,27.5622,90.7471,8485.0,AS,BT,BT-33,Jakar,yes,VQBT,BUT,,,https://en.wikipedia.org/wiki/Bathpalathang_Airport,
308995,VQGP,medium_airport,Gelephu Airport,26.88456,90.46412,980.0,AS,BT,BT-31,Gelephu,no,VQGP,GLU,,,https://en.wikipedia.org/wiki/Gelephu_Airport,
26632,VQPR,medium_airport,Paro International Airport,27.4032,89.424599,7364.0,AS,BT,BT-11,Paro,yes,VQPR,PBH,,,https://en.wikipedia.org/wiki/Paro_Airport,
336108,VRBK,small_airport,Kulhudhuffushi Airport,6.630762,73.067815,,AS,MV,MV-23,Kulhudhuffushi,yes,VRBK,HDK,HDK,,https://en.wikipedia.org/wiki/Kulhudhuffushi_Airport,
335882,VRDA,medium_airport,Maafaru International Airport,5.818394,73.469181,6.0,AS,MV,MV-25,Noonu Atoll,yes,VRDA,NMF,,http://www.maafaruairport.com,https://en.wikipedia.org/wiki/Maafaru_International_Airport,
316420,VRMD,small_airport,Dharavandhoo Airport,5.1561,73.1302,6.0,AS,MV,MV-20,Baa Atoll,yes,VRMD,DRV,,,https://en.wikipedia.org/wiki/Dharavandhoo_Airport,
